current_credits,total_credits,current_gpa,target_gpa,num_2_credit,num_3_credit,final_gpa
110,120,1.87,2.64,5,0,2.24
37,120,3.72,3.88,41,0,3.68
96,120,2.25,2.5,1,7,2.47
109,120,3.43,3.57,4,1,3.53
84,120,1.94,3.68,16,1,2.7
79,120,2.86,3.22,19,1,2.99
106,120,2.85,3.41,2,3,3.32
100,120,2.66,3.09,7,2,3.03
49,120,3.88,3.93,7,19,3.77
98,120,2.46,3.34,8,2,2.77
45,120,1.79,2.11,21,11,2.11
89,120,2.56,3.1,14,1,2.95
80,120,1.63,3.57,9,7,2.43
107,120,3.59,3.63,6,0,3.41
33,120,3.1,3.34,33,7,3.12
37,120,2.6,3.61,11,20,3.26
35,120,2.68,3.27,23,13,3.03
68,120,1.97,3.07,12,9,2.6
83,120,3.75,3.81,18,0,3.94
48,120,3.38,3.57,18,12,3.59
108,120,2.72,3.69,0,4,3.07
76,120,3.76,3.84,19,2,3.66
78,120,3.06,3.35,12,6,3.36
106,120,3.07,3.53,1,4,3.15
63,120,1.84,3.09,22,4,2.53
105,120,2.91,3.94,6,1,3.31
93,120,1.64,3.49,12,1,2.59
79,120,2.03,2.58,17,2,2.38
32,120,1.96,2.3,0,29,2.0
109,120,2.1,2.7,5,0,2.4
93,120,3.53,3.78,0,9,3.76
99,120,2.23,2.94,10,0,2.65
73,120,2.51,2.66,11,8,2.78
57,120,1.69,3.48,18,9,2.55
53,120,2.09,2.44,30,2,2.3
88,120,3.48,3.99,14,1,3.8
101,120,2.52,2.61,8,1,2.67
97,120,3.07,3.27,2,6,3.3
106,120,2.19,2.4,2,3,2.47
30,120,1.51,2.14,12,22,1.77
51,120,3.48,3.78,7,18,3.58
84,120,3.54,3.61,7,7,3.4
61,120,2.23,3.32,23,4,2.58
86,120,3.83,3.88,15,1,4.0
53,120,3.22,3.66,8,17,3.52
70,120,3.15,3.49,4,14,3.47
54,120,3.82,3.84,25,5,3.95
48,120,3.82,3.96,22,9,3.73
66,120,3.78,3.93,7,13,4.0
76,120,3.19,3.99,8,9,3.62
85,120,3.84,3.88,8,6,3.79
39,120,2.67,3.29,1,26,3.04
89,120,3.28,3.41,5,7,3.21
113,120,1.71,1.74,3,0,1.89
106,120,2.65,2.74,4,2,2.75
106,120,3.79,3.85,7,0,3.91
95,120,3.36,3.58,2,7,3.53
87,120,2.37,3.92,9,5,3.06
103,120,3.48,3.59,2,4,3.63
62,120,2.44,2.82,21,5,2.81
39,120,2.07,3.9,33,5,2.87
45,120,3.77,3.93,10,18,3.67
71,120,1.96,3.45,20,3,2.58
56,120,3.89,3.95,14,12,3.8
113,120,3.55,3.64,2,1,3.75
42,120,2.37,2.42,28,7,2.49
52,120,2.21,3.89,13,14,2.9
61,120,3.73,3.96,16,9,3.96
105,120,2.32,3.78,1,4,2.88
108,120,3.04,3.45,3,2,3.32
59,120,2.11,2.62,12,12,2.17
43,120,1.54,2.38,23,10,1.86
92,120,1.98,2.07,2,8,1.91
42,120,3.24,3.63,19,13,3.37
61,120,3.86,3.92,22,5,3.94
94,120,3.64,3.72,11,1,3.59
97,120,1.57,1.78,8,2,1.64
93,120,1.81,1.9,1,8,1.94
52,120,3.55,3.64,32,1,3.74
87,120,2.43,3.56,16,0,2.88
49,120,2.41,3.38,23,8,2.87
49,120,2.75,3.54,10,17,3.23
49,120,2.29,2.7,28,5,2.68
65,120,2.89,3.95,0,18,3.48
42,120,3.31,4.0,22,11,3.65
87,120,2.15,2.41,3,9,2.23
98,120,2.2,2.57,5,4,2.33
44,120,3.37,3.64,36,1,3.68
69,120,2.86,3.88,21,3,3.22
54,120,1.6,1.62,7,17,1.81
89,120,1.67,1.87,2,9,1.86
63,120,2.42,2.5,7,14,2.47
114,120,3.67,3.94,0,2,3.82
58,120,2.22,3.84,8,15,3.06
96,120,3.45,3.46,3,6,3.58
69,120,2.81,3.69,7,12,3.23
30,120,2.67,2.75,0,30,2.83
38,120,2.09,3.53,24,11,2.62
105,120,2.18,3.4,3,3,2.69
40,120,2.72,3.75,8,21,3.25
81,120,2.81,3.15,16,2,2.98
109,120,1.84,2.45,4,1,2.07
76,120,2.25,2.28,11,7,2.09
95,120,3.6,3.93,0,8,3.88
81,120,1.74,2.41,4,10,2.2
94,120,3.16,3.64,5,5,3.47
75,120,3.83,3.99,1,14,3.91
112,120,1.74,1.89,2,1,1.74
48,120,3.11,3.61,34,1,3.3
74,120,2.27,3.94,8,10,3.14
82,120,2.39,3.22,16,2,2.72
100,120,3.59,3.73,5,3,3.48
67,120,1.72,2.75,26,0,2.42
76,120,1.95,2.43,5,11,2.06
59,120,1.56,2.78,15,10,1.98
39,120,2.75,2.83,21,13,2.66
103,120,2.93,3.9,8,0,3.4
75,120,2.12,2.97,6,11,2.39
46,120,2.19,2.37,2,23,2.15
93,120,3.6,3.76,0,9,3.61
97,120,3.58,3.87,8,2,3.61
75,120,3.38,3.97,21,1,3.71
46,120,2.85,3.0,5,21,2.85
112,120,3.52,3.74,1,2,3.44
96,120,3.6,3.87,6,4,3.76
75,120,3.03,3.36,21,1,3.03
62,120,2.37,3.8,15,9,3.2
42,120,1.89,2.69,6,22,2.31
76,120,2.2,2.98,20,1,2.51
69,120,1.53,3.38,7,12,2.29
87,120,2.84,3.46,15,1,3.16
44,120,2.0,2.86,8,20,2.45
101,120,1.77,2.93,3,4,2.23
62,120,3.22,3.28,2,18,3.44
65,120,2.63,2.7,12,10,2.55
94,120,1.93,3.36,5,5,2.63
45,120,1.51,3.26,19,12,2.56
101,120,2.95,3.34,0,6,3.19
42,120,2.51,3.17,9,20,2.95
112,120,3.69,3.83,1,2,3.71
